交易日期_TrdDt,开盘价(元/克)_OpPr,收盘价(元/克)_ClPr,收盘价_美元/盎司(美元/盎司)_Clpr_oz,最高价(元/克)_HiPr,最低价(元/克)_LoPr,涨跌(元/克)_ChgPr,涨跌幅_ChgPct,加权价(元/克)_WghPr,结算价(元/克)_SetPr,成交量(千克)_TrdVol,成交金额(元)_TrdSum
2002/10/31,83.9,83.91,315.3151,83.92,83.9,,,83.9,83.9,66,5537480
2002/11/1,84.5,84.51,317.5698,84.65,84,0.6,0.7151,84.45,84.45,77,6502510
2002/11/4,84.9,84.99,319.3735,85.06,84.9,0.48,0.568,85.01,85.01,95,8076330
2002/11/5,85.1,85.13,319.8957,85.2,85.1,0.14,0.1647,85.14,85.14,61,5193650
2002/11/6,84.9,84.9,319.0392,84.9,84.9,-0.23,-0.2702,84.9,84.9,1,84900
2002/11/7,85,85.14,319.9372,85.15,85,0.24,0.2827,85.09,85.09,26,2212310
2002/11/8,85.25,85.16,320.0123,85.28,85.1,0.02,0.0235,85.19,85.19,35,2981780
2002/11/11,85.18,85.19,320.1212,85.19,85.18,0.03,0.0352,85.19,85.19,65,5537050
2002/11/12,85.26,85.29,320.5047,85.32,85.26,0.1,0.1174,85.29,85.29,13,1108750
2002/11/13,85.7,85.99,323.1313,86.3,85.5,0.7,0.8207,85.99,85.99,22,1891880
2002/11/14,84.62,84.97,319.2906,85.48,84.62,-1.02,-1.1862,84.97,84.97,3,254910
2002/11/15,85,85,319.4072,85.02,85,0.03,0.0353,85,85,122,10370250
2002/11/18,85.26,85.28,320.4555,85.31,85.25,0.28,0.3294,85.26,85.26,126,10743380
2002/11/19,84.85,85.22,320.2301,85.32,84.85,-0.06,-0.0704,85,85,86,7309950
2002/11/20,85.3,85,319.4072,85.3,84.85,-0.22,-0.2582,84.99,84.99,75,6374320
2002/11/21,84.78,85.04,319.5653,85.06,84.77,0.04,0.0471,84.88,84.88,33,2801180
2002/11/22,85.1,85.18,320.0914,85.19,85.1,0.14,0.1646,85.14,85.14,65,5533970
2002/11/25,85.21,85.39,320.8727,85.5,85.21,0.21,0.2465,85.4,85.4,147,12554420
2002/11/26,85.32,85.37,320.7976,85.38,85.32,-0.02,-0.0234,85.36,85.36,44,3756000
2002/11/27,85.4,85.52,321.369,85.55,85.4,0.15,0.1757,85.43,85.43,67,5723730
2002/11/28,85.55,85.53,321.4027,85.55,85.51,0.01,0.0117,85.53,85.53,25,2138310
2002/11/29,85.5,85.6,321.6619,85.6,85.5,0.07,0.0818,85.58,85.58,78,6675470
2002/12/2,93,92.87,348.9806,93,92.8,,8.493,92.84,92.84,201,18661240
2002/12/3,92.8,92.81,348.7551,92.84,92.75,,-0.0646,92.82,92.82,119,11045280
2002/12/4,86,85.95,322.981,86,85.8,0.4,-7.3914,85.89,85.89,61,5239490
2002/12/5,86,85.95,322.9771,86,85.8,0,0,85.97,85.97,66,5674200
2002/12/6,93.99,93.95,353.0475,94,93.9,,9.3077,93.95,93.95,219,20575150
2002/12/9,94.36,94.22,354.0535,94.36,94.1,,0.2874,94.22,94.22,294,27700020
2002/12/10,94.38,94.2,353.9741,94.38,94.18,,-0.0212,94.22,94.22,225,21198940
2002/12/11,86.55,86.32,324.3753,86.55,86.22,-0.28,-8.3652,86.33,86.33,73,6301930
2002/12/12,86.4,86.45,324.8559,86.45,86.4,0.13,0.1506,86.42,86.42,111,9592740
2002/12/13,94.3,94.4,354.7299,94.4,94.3,,9.1961,94.34,94.34,107,10094510
2002/12/16,95,94.94,356.7677,95.05,94.62,,0.572,94.99,94.99,78,7409010
2002/12/17,95.5,95.58,359.164,95.68,95.5,,0.6741,95.55,95.55,62,5924190
2002/12/18,90.15,90.15,338.7555,90.15,90.07,0.04,-5.6811,90.12,90.12,103,9282620
2002/12/19,91.62,93.66,351.9449,94.5,91.62,3.51,3.8935,92.97,92.97,37,3439920
2002/12/20,95.68,95.89,360.3246,96,95.6,,2.381,95.71,95.71,131,12538380
2002/12/23,98.48,97.7,367.1216,98.5,97.65,,1.8876,97.75,97.75,55,5376250
2002/12/24,98.3,97.98,368.1692,98.3,97.94,,0.2866,98.04,98.04,95,9314120
2002/12/25,93.2,93.05,349.6443,93.25,93.05,-0.05,-5.0316,93.13,93.13,49,4563300
2002/12/26,92.55,93.01,349.4982,93.08,92.55,-0.04,-0.043,92.95,92.95,71,6599720
2002/12/27,98.5,98.1,368.6246,98.52,98,,5.4725,98.42,98.42,137,13483760
2002/12/30,93.8,93.86,352.7007,94,93.6,0.25,-4.3221,93.89,93.89,62,5820870
2002/12/31,93.35,92.79,348.6757,93.35,92.51,-1.07,-1.14,92.79,92.79,6,556740
2003/1/2,93,92.87,348.989,93,92.8,0.08,0.0862,92.84,92.84,201,18661240
2003/1/3,92.8,92.81,348.7635,92.84,92.75,-0.06,-0.0646,92.82,92.82,119,11045280
2003/1/6,93.99,93.95,353.056,94,93.9,1.14,1.2283,93.95,93.95,219,20575150
2003/1/7,93.75,93.67,352.0038,93.75,93.66,-0.28,-0.298,93.7,93.7,62,5809550
2003/1/8,93.6,93.37,350.8806,93.6,93.3,-0.3,-0.3203,93.35,93.35,188,17550570
2003/1/9,94.36,94.22,354.0792,94.36,94.1,0.85,0.9104,94.22,94.22,294,27700020
2003/1/10,94.38,94.2,354.004,94.38,94.18,-0.02,-0.0212,94.22,94.22,225,21198940
2003/1/13,94.3,94.4,354.7556,94.4,94.3,0.2,0.2123,94.34,94.34,107,10094510
2003/1/14,94.75,94.8,356.2502,94.8,94.75,0.4,0.4237,94.79,94.79,64,6066410
2003/1/15,94.8,94.88,356.5509,94.9,94.65,0.08,0.0844,94.85,94.85,214,20298380
2003/1/16,95,94.94,356.7677,95.05,94.62,0.06,0.0632,94.99,94.99,78,7409010
2003/1/17,95.5,95.58,359.1727,95.68,95.5,0.64,0.6741,95.55,95.55,62,5924190
2003/1/20,95.68,95.89,360.3376,96,95.6,0.31,0.3243,95.71,95.71,131,12538380
2003/1/21,96,96.27,361.7569,96.28,96,0.38,0.3963,96.15,96.15,109,10480750
2003/1/22,97.5,97.42,366.0871,97.5,97.35,1.15,1.1946,97.42,97.42,7,681930
2003/1/23,98.48,97.7,367.1393,98.5,97.65,0.28,0.2874,97.75,97.75,55,5376250
2003/1/24,98.3,97.98,368.2137,98.3,97.94,0.28,0.2866,98.04,98.04,95,9314120
2003/1/27,98.5,98.1,368.6513,98.52,98,0.12,0.1225,98.42,98.42,137,13483760
2003/1/28,98.12,97.24,365.4195,98.12,97.15,-0.86,-0.8767,97.59,97.59,212,20689320
2003/1/29,97.78,97.7,367.1526,97.78,97.5,0.46,0.4731,97.67,97.67,121,11818630
2003/2/10,98.5,99.07,372.2875,99.4,98.5,1.37,1.4023,98.73,98.73,427,42156910
2003/2/11,97.55,97.41,366.0363,97.8,97.18,-1.66,-1.6756,97.35,97.35,269,26186260
2003/2/12,97.11,97.2,365.2383,97.36,97,-0.21,-0.2156,97.19,97.19,974,94666360
2003/2/13,94.1,94.36,354.5667,95,94.1,-2.84,-2.9218,94.28,94.28,456,42989520
2003/2/14,96.58,96.46,362.4665,96.58,96,2.1,2.2255,96.22,96.22,413,39739890
2003/2/17,92.5,93.22,350.2916,94.6,92.5,-3.24,-3.3589,93.43,93.43,344,32140990
2003/2/18,94,94.07,353.4813,94.48,94,0.85,0.9118,94.24,94.24,39,3675240
2003/2/19,93,93.43,351.0849,93.6,93,-0.64,-0.6803,93.38,93.38,306,28573600
2003/2/20,94.9,94.88,356.5207,95,94.83,1.45,1.552,94.91,94.91,417,39578310
2003/2/21,95.5,95.19,357.6856,95.55,95.08,0.31,0.3267,95.43,95.43,432,41225910
2003/2/24,94.31,94.74,355.9946,95,94.31,-0.45,-0.4727,94.72,94.72,561,53136010
2003/2/25,96.5,95.74,359.7522,96.5,95.67,1,1.0555,96.05,96.05,441,42356810
2003/2/26,95.18,94.65,355.6565,95.56,94.6,-1.09,-1.1385,94.78,94.78,858,81325150
2003/2/27,95.3,94.93,356.7129,95.3,94.8,0.28,0.2958,95.03,95.03,520,49413660
2003/2/28,93.78,93.59,351.6776,93.78,93.5,-1.34,-1.4116,93.57,93.57,1090,101987140
2003/3/3,93.28,93.02,349.5316,93.45,93,-0.57,-0.609,93.11,93.11,715,66574830
2003/3/4,93.88,93.95,353.0261,93.99,93.73,0.93,0.9998,93.92,93.92,394,37003740
2003/3/5,95,94.93,356.7172,95.08,94.9,0.98,1.0431,94.97,94.97,282,26780140
2003/3/6,94.97,94.61,355.5061,94.97,94.4,-0.32,-0.3371,94.59,94.59,664,62809970
2003/3/7,94.9,94.89,356.5583,95,94.81,0.28,0.296,94.92,94.92,199,18888980
2003/3/10,94.75,94.56,355.3226,94.85,94.55,-0.33,-0.3478,94.63,94.63,252,23846800
2003/3/11,94.8,94.26,354.2038,94.8,94.25,-0.3,-0.3173,94.54,94.54,338,31953150
2003/3/12,93.6,93.73,352.2207,93.8,93.5,-0.53,-0.5623,93.6,93.6,237,22182510
2003/3/13,92.5,92.76,348.5757,92.8,92.49,-0.97,-1.0349,92.59,92.59,717,66389630
2003/3/14,91.2,90.24,339.1059,91.2,89.95,-2.52,-2.7167,90.11,90.11,693,62445060
2003/3/17,92.3,92.15,346.2834,92.3,91.95,1.91,2.1166,92.1,92.1,614,56546980
2003/3/18,91.03,91.1,342.3377,91.1,90.86,-1.05,-1.1394,90.97,90.97,350,31841100
2003/3/19,91.04,91.15,342.5173,91.15,90.88,0.05,0.0549,90.98,90.98,301,27385580
2003/3/20,90,89.65,336.8848,90.15,89,-1.5,-1.6456,89.79,89.79,307,27566980
2003/3/21,89.8,90.15,338.7636,90.15,89.8,0.5,0.5577,89.93,89.93,214,19244460
2003/3/24,88.6,89.28,335.4863,89.3,88.6,-0.87,-0.9651,88.86,88.86,418,37144540
2003/3/25,89.78,89.85,337.6281,89.98,89.5,0.57,0.6384,89.79,89.79,572,51361600
2003/3/26,89.35,88.75,333.5028,89.35,88.7,-1.1,-1.2243,88.9,88.9,400,35559380
2003/3/27,89.25,89.09,334.7683,89.35,89.08,0.34,0.3831,89.22,89.22,412,36757960
2003/3/28,88.81,88.4,332.1835,89,88.35,-0.69,-0.7745,88.64,88.64,192,17018090
2003/3/31,89.3,89.35,335.7574,89.7,89.3,0.95,1.0747,89.49,89.49,165,14765210
2003/4/1,89.78,89.7,337.0604,89.98,89.52,0.35,0.3917,89.69,89.69,300,26906250
2003/4/2,89.7,89.01,334.4717,89.7,88.88,-0.69,-0.7692,89.1,89.1,552,49185120
2003/4/3,88.51,88.22,331.5151,88.51,88.11,-0.79,-0.8875,88.19,88.19,393,34658210
2003/4/4,87.5,86.81,326.2166,87.5,86.6,-1.41,-1.5983,87.02,87.02,243,21145920
2003/4/7,86.5,86.01,323.2103,86.5,86,-0.8,-0.9216,86.09,86.09,425,36587830
2003/4/8,86.89,86.01,323.2025,86.89,85.92,0,0,86.01,86.01,400,34402000
2003/4/9,86.41,86.86,326.3966,86.99,86.41,0.85,0.9883,86.72,86.72,208,18038690
